edible-poisonous,cap-shape,cap-surface,cap-color,bruises,odor,colony
edible,flat,smooth,white,no,none,796
poisonous,flat,smooth,brown,bruises,pungent,1
edible,flat,fibrous,grey,no,none,864
edible,flat,smooth,white,no,none,741
edible,convex,fibrous,brown,bruises,none,1
edible,convex,smooth,brown,no,none,714
edible,convex,fibrous,red,bruises,none,1
edible,convex,scaly,yellow,bruises,almond,52
edible,flat,fibrous,white,no,none,9
edible,convex,smooth,white,no,none,699
edible,flat,fibrous,brown,no,none,890
poisonous,flat,smooth,white,bruises,pungent,8
edible,flat,fibrous,grey,bruises,none,1
edible,flat,smooth,white,no,none,7
edible,flat,fibrous,white,no,none,990
poisonous,flat,scaly,brown,bruises,pungent,1
edible,convex,smooth,white,no,none,9
edible,convex,fibrous,brown,bruises,none,1
edible,convex,scaly,grey,bruises,none,1
edible,convex,scaly,grey,bruises,none,1
edible,flat,smooth,brown,no,none,9
edible,flat,smooth,white,no,none,9
edible,flat,smooth,brown,no,none,878
edible,convex,smooth,brown,no,none,889
edible,flat,fibrous,white,no,none,703
edible,convex,fibrous,brown,no,none,8
edible,flat,fibrous,white,no,none,710
edible,flat,fibrous,brown,no,none,919
edible,flat,smooth,white,no,none,8
edible,flat,fibrous,brown,no,none,941
poisonous,flat,scaly,brown,bruises,pungent,1
edible,flat,fibrous,white,no,none,542
edible,flat,smooth,white,no,none,8
edible,convex,fibrous,brown,no,none,926
edible,flat,fibrous,white,no,none,6
edible,convex,fibrous,grey,no,none,658
edible,flat,smooth,brown,no,none,903
edible,convex,fibrous,grey,bruises,none,2
edible,flat,fibrous,white,no,none,913
edible,flat,fibrous,brown,no,none,8
edible,convex,smooth,brown,no,none,7
edible,convex,fibrous,white,no,none,7
edible,bell,smooth,yellow,bruises,anise,9
poisonous,convex,scaly,brown,bruises,pungent,7
poisonous,flat,smooth,brown,bruises,pungent,2
edible,flat,fibrous,white,no,none,6
edible,flat,fibrous,brown,no,none,9
poisonous,flat,scaly,brown,bruises,pungent,9
edible,flat,fibrous,brown,no,none,9
poisonous,convex,smooth,white,bruises,pungent,1
edible,flat,smooth,brown,no,none,667
poisonous,flat,scaly,white,bruises,pungent,2
edible,flat,smooth,brown,no,none,949
edible,flat,smooth,grey,no,none,866
edible,convex,fibrous,grey,no,none,956
edible,flat,fibrous,brown,no,none,9
edible,convex,fibrous,grey,bruises,none,2
edible,convex,fibrous,brown,bruises,none,2
edible,convex,fibrous,brown,no,none,8
edible,convex,fibrous,grey,bruises,none,1
edible,convex,smooth,white,no,none,9
edible,flat,smooth,white,no,none,856
edible,convex,smooth,white,no,none,9
edible,flat,fibrous,grey,no,none,8
edible,convex,fibrous,brown,bruises,none,1
edible,convex,smooth,white,no,none,9
edible,convex,smooth,brown,no,none,6
edible,flat,smooth,grey,no,none,8
poisonous,flat,scaly,white,bruises,pungent,7
edible,flat,smooth,brown,no,none,9
edible,convex,fibrous,grey,bruises,none,1
edible,flat,smooth,grey,no,none,740
edible,convex,smooth,grey,no,none,620
poisonous,flat,scaly,white,bruises,pungent,6
edible,convex,smooth,white,no,none,615
edible,convex,smooth,white,no,none,969
edible,flat,smooth,grey,no,none,954
edible,flat,smooth,brown,no,none,7
edible,convex,fibrous,brown,no,none,8
edible,flat,smooth,brown,no,none,8
edible,flat,smooth,brown,no,none,620
edible,convex,fibrous,white,no,none,936
edible,flat,fibrous,white,no,none,830
edible,flat,fibrous,brown,no,none,539
edible,convex,scaly,white,bruises,anise,9
edible,convex,smooth,brown,no,none,823
edible,convex,smooth,grey,no,none,9
edible,flat,smooth,white,no,none,627
poisonous,convex,smooth,white,bruises,pungent,7
edible,convex,smooth,white,no,none,8
edible,convex,fibrous,brown,bruises,none,1
edible,flat,fibrous,grey,no,none,6
edible,convex,smooth,grey,no,none,798
edible,flat,fibrous,brown,no,none,637
edible,flat,smooth,brown,no,none,7
edible,convex,smooth,grey,no,none,7
edible,flat,scaly,brown,bruises,anise,7
poisonous,flat,scaly,brown,bruises,pungent,2
edible,convex,smooth,brown,no,none,9
edible,convex,fibrous,brown,bruises,none,2
poisonous,flat,scaly,white,bruises,pungent,7
poisonous,convex,smooth,white,bruises,pungent,7
poisonous,flat,smooth,brown,bruises,pungent,9
edible,convex,fibrous,brown,bruises,none,1
edible,bell,scaly,white,bruises,anise,37
poisonous,flat,scaly,white,bruises,pungent,7
edible,flat,fibrous,white,no,none,656
edible,convex,smooth,white,no,none,9
edible,convex,fibrous,brown,bruises,none,1
edible,convex,smooth,brown,no,none,985
edible,flat,fibrous,brown,no,none,7
edible,flat,fibrous,brown,no,none,6
poisonous,flat,scaly,brown,bruises,pungent,7
poisonous,flat,scaly,white,bruises,pungent,1
edible,convex,smooth,brown,no,none,8
edible,flat,fibrous,grey,no,none,7
edible,convex,fibrous,brown,bruises,none,2
edible,flat,smooth,grey,no,none,7
edible,flat,fibrous,brown,no,none,996
poisonous,flat,smooth,brown,bruises,pungent,1
edible,convex,fibrous,brown,no,none,961
poisonous,flat,scaly,brown,bruises,pungent,1
edible,convex,smooth,grey,no,none,990
edible,convex,smooth,white,no,none,754
edible,convex,fibrous,brown,bruises,none,1
edible,convex,smooth,brown,no,none,8
poisonous,flat,smooth,white,bruises,pungent,6
edible,convex,fibrous,brown,bruises,none,2
edible,convex,smooth,white,no,none,6
edible,flat,smooth,white,no,none,7
edible,convex,smooth,white,bruises,almond,2
edible,convex,fibrous,brown,no,none,7
edible,convex,scaly,grey,bruises,none,1
edible,convex,fibrous,brown,bruises,none,1
edible,convex,smooth,yellow,bruises,almond,2
edible,flat,fibrous,grey,no,none,599
edible,convex,smooth,brown,no,none,8
edible,convex,scaly,red,bruises,none,1
edible,flat,smooth,grey,no,none,897
poisonous,flat,smooth,white,bruises,pungent,1
edible,flat,fibrous,white,no,none,8
edible,convex,fibrous,grey,no,none,570
edible,flat,fibrous,brown,no,none,7
edible,flat,smooth,brown,no,none,864
edible,convex,fibrous,white,no,none,509
poisonous,flat,scaly,white,bruises,pungent,6
edible,convex,fibrous,white,no,none,8
edible,flat,smooth,brown,no,none,986
edible,convex,smooth,brown,no,none,7
edible,convex,fibrous,grey,no,none,8
edible,convex,smooth,brown,no,none,683
edible,flat,scaly,yellow,bruises,anise,1
poisonous,convex,scaly,brown,bruises,pungent,2
edible,convex,fibrous,white,no,none,890
edible,flat,smooth,white,no,none,7
edible,convex,smooth,brown,no,none,6
poisonous,flat,scaly,brown,bruises,pungent,9
edible,flat,fibrous,grey,no,none,9
poisonous,flat,smooth,white,bruises,pungent,7
edible,convex,smooth,grey,no,none,8
edible,convex,fibrous,grey,no,none,977
edible,flat,fibrous,brown,no,none,6
edible,flat,smooth,grey,no,none,8
edible,convex,smooth,white,no,none,8
edible,convex,fibrous,brown,no,none,748
edible,convex,fibrous,grey,no,none,9
edible,flat,fibrous,brown,no,none,623
edible,bell,scaly,yellow,bruises,almond,57
edible,flat,fibrous,grey,no,none,8
edible,convex,fibrous,grey,no,none,548
edible,flat,fibrous,white,no,none,684
edible,convex,fibrous,brown,bruises,none,1
poisonous,flat,smooth,brown,bruises,pungent,7
edible,convex,fibrous,brown,bruises,none,1
edible,convex,fibrous,brown,no,none,900
edible,convex,fibrous,brown,bruises,none,1
edible,convex,fibrous,white,no,none,581
edible,flat,smooth,grey,no,none,6
edible,flat,smooth,brown,no,none,568
edible,convex,scaly,yellow,bruises,almond,7
edible,convex,fibrous,white,bruises,almond,2
edible,flat,fibrous,grey,no,none,786
edible,flat,fibrous,brown,no,none,829
edible,flat,fibrous,brown,no,none,6
edible,bell,scaly,yellow,bruises,almond,8
edible,convex,fibrous,brown,no,none,7
edible,convex,scaly,white,bruises,anise,7
edible,flat,smooth,white,no,none,7
edible,convex,smooth,white,no,none,926
edible,convex,fibrous,brown,no,none,6
edible,convex,smooth,brown,no,none,885
edible,convex,smooth,brown,no,none,7
edible,convex,scaly,brown,bruises,none,1
edible,flat,smooth,grey,no,none,6
edible,convex,scaly,yellow,bruises,almond,51
edible,convex,smooth,white,no,none,536
poisonous,flat,scaly,white,bruises,pungent,9
edible,flat,smooth,white,no,none,9
poisonous,flat,smooth,white,bruises,pungent,9
edible,flat,smooth,grey,no,none,8
edible,flat,fibrous,grey,no,none,7
poisonous,convex,smooth,white,bruises,pungent,9
edible,convex,smooth,grey,no,none,585
poisonous,convex,smooth,white,bruises,pungent,6
edible,convex,smooth,grey,no,none,8
edible,flat,smooth,white,no,none,8
poisonous,flat,scaly,white,bruises,pungent,1
edible,convex,fibrous,white,no,none,709
edible,convex,smooth,brown,no,none,570
edible,convex,fibrous,white,no,none,6
edible,convex,fibrous,white,no,none,896
edible,convex,scaly,red,bruises,none,1
poisonous,flat,smooth,brown,bruises,pungent,6
edible,flat,fibrous,grey,no,none,7
edible,convex,scaly,yellow,bruises,almond,1
edible,convex,fibrous,brown,no,none,573
edible,flat,fibrous,brown,no,none,717
edible,bell,smooth,white,bruises,anise,51
edible,flat,smooth,grey,no,none,966
edible,flat,fibrous,white,no,none,863
edible,flat,fibrous,brown,no,none,553
poisonous,flat,smooth,brown,bruises,pungent,6
edible,convex,smooth,brown,no,none,660
edible,bell,scaly,yellow,bruises,almond,58
edible,flat,smooth,grey,no,none,539
edible,flat,smooth,brown,no,none,6
edible,convex,fibrous,grey,no,none,873
edible,flat,smooth,grey,no,none,7
edible,convex,fibrous,brown,no,none,669
edible,convex,fibrous,brown,bruises,none,1
edible,bell,scaly,white,bruises,anise,49
edible,convex,fibrous,grey,bruises,none,1
poisonous,flat,scaly,brown,bruises,pungent,6
edible,convex,smooth,white,no,none,870
poisonous,flat,smooth,brown,bruises,pungent,2
edible,flat,smooth,brown,no,none,710
edible,flat,fibrous,brown,no,none,896
edible,convex,fibrous,white,no,none,876
edible,convex,fibrous,brown,no,none,895
edible,flat,smooth,brown,no,none,7
edible,convex,smooth,yellow,bruises,anise,6
edible,flat,smooth,white,no,none,645
edible,convex,smooth,white,no,none,9
poisonous,convex,scaly,brown,bruises,pungent,1
edible,flat,fibrous,grey,no,none,681
poisonous,flat,scaly,brown,bruises,pungent,8
edible,flat,fibrous,white,no,none,685
edible,convex,fibrous,brown,bruises,none,1
edible,convex,fibrous,grey,no,none,7
poisonous,flat,smooth,brown,bruises,pungent,1
edible,flat,smooth,grey,no,none,6
poisonous,convex,smooth,white,bruises,pungent,2
edible,convex,fibrous,brown,bruises,none,1
edible,convex,fibrous,brown,no,none,8
edible,convex,scaly,yellow,bruises,almond,9
edible,flat,fibrous,white,no,none,6
edible,flat,smooth,white,no,none,719
edible,convex,fibrous,grey,no,none,9
edible,flat,fibrous,grey,no,none,9
edible,convex,fibrous,grey,no,none,9
edible,convex,fibrous,grey,bruises,none,1
edible,convex,smooth,grey,no,none,658
edible,flat,smooth,grey,no,none,9
edible,convex,scaly,brown,bruises,anise,9
edible,convex,scaly,grey,bruises,none,1
edible,flat,smooth,grey,no,none,879
edible,flat,fibrous,white,no,none,8
edible,flat,smooth,brown,no,none,964
edible,flat,fibrous,white,no,none,9
edible,flat,fibrous,brown,no,none,554
edible,flat,smooth,grey,no,none,564
edible,convex,smooth,brown,no,none,6
edible,convex,fibrous,brown,bruises,none,1
edible,convex,smooth,brown,no,none,7
edible,convex,fibrous,brown,no,none,595
edible,flat,smooth,white,no,none,558
edible,convex,fibrous,brown,no,none,1
poisonous,flat,smooth,brown,bruises,pungent,1
edible,convex,fibrous,brown,bruises,none,1
edible,convex,smooth,white,no,none,604
edible,flat,fibrous,grey,no,none,578
edible,convex,smooth,brown,no,none,8
edible,convex,fibrous,brown,no,none,7
edible,convex,smooth,grey,no,none,7
edible,flat,fibrous,grey,no,none,532
edible,flat,smooth,brown,no,none,8
edible,flat,smooth,grey,no,none,783
edible,convex,fibrous,red,bruises,none,1
poisonous,flat,scaly,white,bruises,pungent,1
edible,convex,fibrous,brown,no,none,8
edible,convex,fibrous,brown,bruises,none,1
poisonous,flat,smooth,brown,bruises,pungent,6
poisonous,flat,smooth,white,bruises,pungent,1
poisonous,flat,smooth,white,bruises,pungent,6
edible,flat,fibrous,white,no,none,752
edible,flat,smooth,brown,no,none,6
edible,flat,fibrous,brown,no,none,654
edible,convex,smooth,brown,no,none,945
edible,flat,smooth,brown,no,none,952
poisonous,flat,smooth,white,bruises,pungent,2
poisonous,flat,smooth,white,bruises,pungent,2
edible,flat,smooth,grey,no,none,650
edible,convex,smooth,brown,no,none,931
edible,convex,smooth,brown,no,none,8
edible,convex,fibrous,brown,bruises,none,1
edible,convex,fibrous,brown,bruises,none,2
edible,flat,fibrous,white,no,none,967
edible,flat,fibrous,white,no,none,9
edible,convex,fibrous,white,no,none,761
edible,convex,smooth,yellow,bruises,anise,48
edible,flat,smooth,grey,no,none,882
edible,convex,smooth,white,no,none,6
edible,convex,fibrous,brown,no,none,6
edible,convex,fibrous,brown,no,none,933
edible,convex,smooth,white,no,none,6
edible,convex,smooth,brown,no,none,7
edible,convex,smooth,grey,no,none,7
edible,convex,smooth,grey,no,none,7
edible,flat,smooth,white,no,none,8
edible,convex,smooth,brown,no,none,588
edible,flat,fibrous,white,no,none,6
edible,convex,fibrous,white,no,none,900
edible,flat,fibrous,grey,no,none,7
edible,convex,fibrous,grey,no,none,794
edible,convex,scaly,yellow,bruises,almond,55
edible,convex,smooth,yellow,bruises,anise,56
edible,convex,smooth,white,no,none,983
poisonous,convex,scaly,brown,bruises,pungent,7
edible,convex,fibrous,white,no,none,9
poisonous,convex,smooth,white,bruises,pungent,7
edible,convex,scaly,grey,bruises,none,2
poisonous,flat,smooth,white,bruises,pungent,1
edible,convex,scaly,yellow,bruises,anise,7
edible,convex,scaly,white,bruises,anise,36
edible,flat,scaly,brown,bruises,anise,1
edible,convex,smooth,white,no,none,8
edible,flat,smooth,brown,no,none,8
edible,convex,smooth,grey,no,none,618
edible,convex,smooth,white,no,none,774
edible,flat,smooth,brown,no,none,8
edible,flat,smooth,brown,no,none,895
edible,convex,smooth,grey,no,none,9
edible,bell,smooth,white,bruises,anise,36
edible,convex,smooth,grey,no,none,7
edible,convex,smooth,yellow,bruises,anise,6
poisonous,flat,scaly,white,bruises,pungent,1
edible,flat,smooth,white,no,none,8
edible,flat,smooth,brown,no,none,9
edible,flat,smooth,grey,no,none,8
edible,convex,scaly,brown,bruises,none,1
edible,convex,fibrous,brown,bruises,none,1
edible,convex,scaly,yellow,bruises,almond,1
edible,convex,fibrous,grey,bruises,none,1
edible,flat,fibrous,grey,no,none,695
edible,flat,smooth,brown,no,none,6
edible,flat,smooth,white,no,none,507
edible,convex,fibrous,grey,no,none,994
edible,flat,smooth,white,no,none,6
edible,flat,fibrous,grey,no,none,582
edible,convex,fibrous,grey,no,none,833
edible,convex,fibrous,brown,bruises,none,1
edible,flat,smooth,white,no,none,8
edible,flat,fibrous,brown,no,none,8
poisonous,flat,scaly,brown,bruises,pungent,7
edible,convex,fibrous,brown,bruises,none,1
edible,convex,fibrous,brown,no,none,8
edible,flat,fibrous,white,no,none,7
poisonous,flat,scaly,brown,bruises,pungent,1
edible,flat,fibrous,grey,no,none,8
edible,convex,fibrous,grey,bruises,none,1
edible,convex,fibrous,white,no,none,738
edible,convex,fibrous,grey,no,none,6
edible,convex,fibrous,brown,bruises,none,2
edible,convex,smooth,grey,no,none,946
edible,flat,fibrous,white,no,none,673
edible,convex,fibrous,grey,bruises,none,1
edible,convex,scaly,white,bruises,anise,41
edible,convex,scaly,white,bruises,anise,59
edible,flat,smooth,grey,no,none,9
edible,flat,smooth,white,no,none,689
edible,flat,smooth,brown,no,none,8
edible,flat,smooth,white,no,none,681
edible,convex,fibrous,brown,no,none,906
edible,convex,smooth,brown,no,none,9
edible,bell,scaly,yellow,bruises,almond,34
poisonous,flat,scaly,white,bruises,pungent,2
edible,convex,smooth,brown,no,none,507
edible,flat,smooth,brown,no,none,7
edible,convex,scaly,brown,bruises,almond,8
edible,convex,smooth,grey,no,none,729
edible,flat,smooth,white,no,none,792
poisonous,convex,smooth,brown,bruises,pungent,2
edible,flat,smooth,grey,no,none,864
edible,convex,fibrous,white,no,none,7
poisonous,flat,smooth,brown,bruises,pungent,2
edible,convex,fibrous,brown,no,none,985
edible,convex,smooth,brown,no,none,525
edible,convex,fibrous,brown,bruises,none,2
edible,flat,smooth,white,no,none,8
poisonous,flat,smooth,white,bruises,pungent,2
edible,convex,fibrous,white,no,none,989
edible,flat,fibrous,brown,no,none,7
edible,flat,smooth,grey,no,none,7
edible,convex,fibrous,white,no,none,957
edible,flat,scaly,brown,bruises,anise,1
poisonous,flat,smooth,white,bruises,pungent,6
edible,convex,fibrous,white,no,none,751
edible,flat,fibrous,brown,no,none,1
poisonous,flat,scaly,brown,bruises,pungent,7
edible,flat,smooth,white,no,none,9
edible,flat,scaly,yellow,bruises,almond,1
edible,convex,fibrous,white,no,none,7
edible,convex,fibrous,white,no,none,919
poisonous,flat,scaly,brown,bruises,pungent,7
edible,flat,fibrous,brown,no,none,7
edible,flat,fibrous,grey,no,none,7
edible,convex,fibrous,brown,no,none,6
edible,convex,fibrous,brown,bruises,none,1
edible,convex,smooth,grey,no,none,9
edible,convex,smooth,grey,no,none,990
edible,convex,fibrous,white,no,none,9
edible,flat,fibrous,grey,no,none,9
edible,convex,fibrous,brown,bruises,none,1
edible,convex,smooth,white,no,none,9
poisonous,convex,smooth,white,bruises,pungent,8
edible,flat,smooth,grey,no,none,685
edible,convex,smooth,brown,no,none,7
edible,convex,fibrous,brown,bruises,none,2
edible,convex,scaly,yellow,bruises,almond,1
edible,convex,smooth,grey,no,none,954
edible,convex,fibrous,brown,no,none,799
edible,convex,fibrous,white,no,none,838
edible,convex,scaly,yellow,bruises,almond,9
edible,convex,fibrous,brown,bruises,none,1
edible,convex,fibrous,white,no,none,785
edible,convex,fibrous,white,no,none,962
poisonous,flat,smooth,brown,bruises,pungent,6
poisonous,flat,smooth,white,bruises,pungent,2
edible,convex,smooth,brown,no,none,915
edible,convex,fibrous,grey,no,none,1
edible,flat,smooth,brown,no,none,6
edible,convex,smooth,white,no,none,624
poisonous,flat,smooth,white,bruises,pungent,8
edible,bell,smooth,yellow,bruises,almond,8
edible,convex,fibrous,brown,no,none,563
poisonous,flat,scaly,brown,bruises,pungent,9
edible,convex,smooth,grey,no,none,762
edible,convex,smooth,grey,no,none,7
edible,convex,smooth,white,no,none,9
poisonous,flat,smooth,white,bruises,pungent,2
edible,flat,smooth,white,no,none,722
edible,convex,fibrous,brown,no,none,859
edible,flat,fibrous,brown,no,none,7
edible,convex,fibrous,brown,no,none,501
poisonous,flat,scaly,brown,bruises,pungent,2
edible,convex,fibrous,white,no,none,6
edible,flat,smooth,white,no,none,660
poisonous,flat,scaly,white,bruises,pungent,2
edible,flat,smooth,grey,no,none,872
edible,flat,scaly,brown,bruises,none,1
edible,convex,fibrous,grey,no,none,678
edible,convex,fibrous,grey,bruises,none,2
edible,convex,scaly,brown,bruises,none,1
edible,flat,fibrous,brown,bruises,none,1
edible,flat,scaly,red,bruises,none,2
edible,flat,smooth,grey,no,none,9
edible,convex,fibrous,grey,bruises,none,1
edible,convex,scaly,grey,bruises,none,1
edible,convex,fibrous,grey,no,none,6
poisonous,flat,smooth,brown,bruises,pungent,6
edible,flat,fibrous,brown,bruises,none,1
poisonous,convex,smooth,brown,bruises,pungent,2
edible,convex,smooth,white,bruises,almond,6
edible,convex,smooth,white,no,none,935
edible,convex,scaly,yellow,bruises,almond,8
edible,flat,smooth,brown,no,none,505
edible,flat,smooth,white,no,none,8
edible,convex,fibrous,brown,bruises,none,2
edible,flat,smooth,brown,no,none,9
edible,convex,fibrous,brown,no,none,9
poisonous,convex,smooth,white,bruises,pungent,1
edible,flat,fibrous,brown,bruises,none,1
edible,convex,scaly,white,bruises,anise,56
edible,flat,fibrous,grey,no,none,9
edible,convex,scaly,red,bruises,none,2
edible,flat,fibrous,white,no,none,8
edible,convex,smooth,grey,no,none,534
edible,convex,scaly,brown,bruises,none,2
edible,convex,scaly,grey,bruises,none,1
edible,convex,fibrous,grey,bruises,none,2
edible,flat,smooth,white,no,none,856
edible,convex,fibrous,grey,bruises,none,2
edible,convex,fibrous,brown,bruises,none,2
edible,convex,fibrous,red,bruises,none,1
edible,convex,scaly,brown,bruises,none,1
edible,flat,fibrous,white,no,none,6
edible,convex,scaly,brown,bruises,none,1
edible,convex,smooth,grey,no,none,6
edible,convex,fibrous,grey,no,none,725
edible,flat,fibrous,white,no,none,643
edible,convex,scaly,grey,bruises,none,2
poisonous,flat,scaly,brown,bruises,pungent,8
edible,convex,scaly,red,bruises,none,1
edible,flat,fibrous,white,no,none,7
edible,flat,smooth,grey,no,none,743
edible,convex,scaly,grey,bruises,none,1
edible,flat,fibrous,grey,bruises,none,1
edible,convex,fibrous,brown,bruises,none,2
edible,flat,fibrous,red,bruises,none,1
edible,convex,smooth,white,no,none,906
edible,convex,fibrous,red,bruises,none,1
edible,convex,fibrous,brown,bruises,none,2
edible,convex,fibrous,grey,bruises,none,1
edible,convex,fibrous,brown,bruises,none,1
edible,convex,fibrous,yellow,bruises,almond,2
edible,convex,fibrous,red,bruises,none,1
poisonous,flat,smooth,white,bruises,pungent,1
edible,convex,smooth,white,no,none,9
edible,convex,fibrous,red,bruises,none,1
edible,convex,scaly,brown,bruises,none,1
edible,convex,fibrous,white,no,none,536
edible,convex,fibrous,grey,bruises,none,1
edible,convex,smooth,grey,no,none,7
edible,convex,scaly,red,bruises,none,1
edible,convex,scaly,brown,bruises,none,2
edible,convex,smooth,white,no,none,512
edible,convex,smooth,brown,no,none,729
edible,convex,smooth,white,no,none,7
edible,convex,smooth,brown,no,none,6
edible,flat,fibrous,red,bruises,none,1
edible,flat,fibrous,white,no,none,515
edible,convex,scaly,red,bruises,none,2
edible,convex,fibrous,red,bruises,none,1
edible,convex,scaly,grey,bruises,none,2
edible,convex,fibrous,red,bruises,none,1
edible,flat,smooth,brown,no,none,9
edible,convex,smooth,white,no,none,967
edible,convex,smooth,white,no,none,792
edible,convex,fibrous,white,no,none,995
edible,convex,fibrous,red,bruises,none,1
edible,convex,fibrous,brown,bruises,none,1
edible,flat,fibrous,brown,bruises,none,2
edible,flat,fibrous,white,bruises,anise,2
edible,flat,fibrous,white,no,none,654
poisonous,flat,scaly,white,bruises,pungent,7
edible,flat,fibrous,grey,bruises,none,2
edible,convex,fibrous,brown,bruises,none,1
edible,convex,smooth,white,no,none,957
edible,convex,fibrous,white,no,none,963
edible,convex,smooth,brown,no,none,680
edible,convex,fibrous,brown,no,none,684
edible,convex,smooth,grey,no,none,974
edible,convex,scaly,brown,bruises,none,2
edible,convex,fibrous,brown,bruises,none,1
edible,flat,smooth,grey,no,none,7
edible,flat,smooth,brown,no,none,711
edible,convex,smooth,grey,no,none,6
edible,flat,fibrous,grey,bruises,none,1
edible,convex,smooth,white,no,none,599
edible,flat,smooth,white,no,none,8
edible,convex,fibrous,grey,no,none,6
edible,flat,fibrous,brown,no,none,537
edible,flat,fibrous,brown,no,none,966
edible,convex,fibrous,brown,bruises,none,2
edible,flat,smooth,grey,no,none,840
edible,flat,smooth,white,no,none,9
edible,convex,scaly,red,bruises,none,1
edible,convex,scaly,grey,bruises,none,2
edible,convex,scaly,red,bruises,none,1
edible,convex,fibrous,grey,no,none,6
edible,flat,fibrous,grey,no,none,995
edible,flat,scaly,yellow,bruises,anise,1
poisonous,flat,scaly,white,bruises,pungent,1
edible,flat,smooth,brown,no,none,505
edible,flat,fibrous,brown,no,none,6
edible,flat,fibrous,brown,bruises,none,2
edible,convex,fibrous,red,bruises,none,1
edible,flat,fibrous,grey,no,none,539
edible,convex,fibrous,brown,no,none,6
edible,convex,fibrous,grey,no,none,8
edible,convex,scaly,red,bruises,none,2
edible,flat,fibrous,brown,bruises,none,1
edible,convex,fibrous,brown,no,none,6
edible,convex,fibrous,brown,no,none,973
edible,flat,smooth,white,no,none,6
edible,flat,smooth,grey,no,none,8
poisonous,flat,scaly,white,bruises,pungent,8
edible,bell,smooth,white,bruises,almond,6
edible,convex,fibrous,brown,bruises,none,1
edible,convex,fibrous,brown,no,none,7
edible,convex,smooth,brown,no,none,7
edible,convex,fibrous,white,no,none,625
edible,convex,smooth,white,no,none,803
edible,convex,smooth,grey,no,none,8
edible,convex,scaly,red,bruises,none,2
edible,flat,fibrous,brown,bruises,none,1
edible,convex,fibrous,brown,bruises,none,1
edible,flat,fibrous,white,no,none,6
edible,flat,smooth,brown,no,none,6
poisonous,flat,smooth,white,bruises,pungent,1
edible,flat,fibrous,brown,no,none,8
edible,convex,scaly,grey,bruises,none,1
edible,convex,scaly,grey,bruises,none,1
edible,convex,fibrous,grey,no,none,907
edible,convex,fibrous,grey,bruises,none,2
edible,convex,fibrous,grey,bruises,none,1
edible,convex,fibrous,grey,bruises,none,1
edible,convex,fibrous,brown,bruises,none,2
poisonous,convex,smooth,white,bruises,pungent,2
edible,convex,fibrous,brown,no,none,7
edible,convex,scaly,brown,bruises,none,1
edible,convex,fibrous,grey,bruises,none,1
poisonous,flat,scaly,brown,bruises,pungent,7
edible,convex,fibrous,grey,bruises,none,1
edible,convex,fibrous,grey,no,none,6
edible,convex,fibrous,red,bruises,none,1
edible,flat,fibrous,brown,no,none,9
edible,flat,smooth,white,no,none,781
edible,flat,smooth,brown,no,none,9
edible,convex,scaly,red,bruises,none,2
edible,flat,smooth,brown,no,none,9
edible,flat,fibrous,brown,bruises,none,1
edible,flat,smooth,white,no,none,6
edible,convex,fibrous,brown,no,none,526
edible,flat,fibrous,brown,no,none,7
poisonous,convex,smooth,brown,bruises,pungent,1
edible,convex,fibrous,brown,bruises,none,1
edible,flat,smooth,brown,no,none,9
poisonous,flat,scaly,white,bruises,pungent,9
edible,convex,fibrous,brown,bruises,none,1
edible,convex,fibrous,grey,bruises,none,1
edible,flat,fibrous,brown,no,none,947
edible,convex,fibrous,red,bruises,none,2
edible,convex,fibrous,white,no,none,9
edible,convex,scaly,white,bruises,anise,58
edible,convex,smooth,white,no,none,6
edible,convex,scaly,grey,bruises,none,2
edible,convex,fibrous,grey,bruises,none,1
edible,convex,smooth,grey,no,none,792
poisonous,flat,scaly,white,bruises,pungent,9
edible,convex,fibrous,red,bruises,none,1
poisonous,flat,smooth,brown,bruises,pungent,8
poisonous,flat,scaly,brown,bruises,pungent,1
edible,convex,fibrous,grey,bruises,none,1
edible,flat,smooth,brown,no,none,923
edible,convex,fibrous,grey,bruises,none,1
edible,convex,fibrous,brown,no,none,643
edible,convex,fibrous,brown,bruises,none,1
edible,flat,smooth,brown,no,none,6
edible,flat,fibrous,brown,no,none,761
edible,convex,smooth,brown,no,none,726
edible,convex,smooth,brown,no,none,9
edible,convex,fibrous,brown,bruises,none,2
edible,convex,scaly,red,bruises,none,2
edible,flat,smooth,brown,no,none,951
edible,convex,fibrous,brown,bruises,none,1
poisonous,flat,scaly,white,bruises,pungent,2
edible,convex,scaly,yellow,bruises,anise,8
poisonous,flat,smooth,brown,bruises,pungent,7
edible,flat,fibrous,white,no,none,7
edible,flat,fibrous,brown,no,none,612
poisonous,flat,smooth,brown,bruises,pungent,2
edible,convex,smooth,brown,no,none,904
edible,convex,fibrous,brown,no,none,8
edible,convex,fibrous,red,bruises,none,2
edible,flat,fibrous,brown,no,none,938
edible,convex,fibrous,white,no,none,6
edible,flat,smooth,grey,no,none,526
edible,flat,fibrous,white,no,none,6
edible,flat,smooth,yellow,bruises,almond,1
edible,flat,fibrous,white,bruises,almond,2
edible,flat,fibrous,brown,no,none,702
edible,convex,fibrous,brown,bruises,none,1
edible,convex,scaly,grey,bruises,none,1
edible,convex,fibrous,brown,bruises,none,1
edible,convex,fibrous,brown,no,none,8
edible,convex,fibrous,grey,bruises,none,1
edible,convex,fibrous,grey,no,none,621
